,no,front_width,front_height,depth,opening_area_rate,partition_area_rate,number_of_openings,1_type,1_width,1_height,1_radius,1_peak_a_x,1_peak_a_y,1_peak_b_x,1_peak_b_y,1_peak_c_x,1_peak_c_y,2_type,2_width,2_height,2_radius,2_peak_a_x,2_peak_a_y,2_peak_b_x,2_peak_b_y,2_peak_c_x,2_peak_c_y,3_type,3_width,3_height,3_radius,3_peak_a_x,3_peak_a_y,3_peak_b_x,3_peak_b_y,3_peak_c_x,3_peak_c_y,4_type,4_width,4_height,4_radius,4_peak_a_x,4_peak_a_y,4_peak_b_x,4_peak_b_y,4_peak_c_x,4_peak_c_y
187,188,190,190,150,0.099722992,1.203762995,4,triangle,60,30,nan,0,0,0,60,30,30,triangle,60,30,nan,0,30,60,30,30,0,triangle,60,30,nan,0,30,30,60,30,0,triangle,60,30,nan,0,0,30,30,60,0
188,189,190,190,150,0.135734072,1.404390161,4,triangle,70,35,nan,0,0,0,70,35,35,triangle,70,35,nan,0,35,70,35,35,0,triangle,70,35,nan,0,35,35,70,35,0,triangle,70,35,nan,0,0,35,35,70,0
189,190,190,190,150,0.177285319,1.605017327,4,triangle,80,40,nan,0,0,0,80,40,40,triangle,80,40,nan,0,40,80,40,40,0,triangle,80,40,nan,0,40,40,80,40,0,triangle,80,40,nan,0,0,40,40,80,0
190,191,190,190,150,0.224376731,1.805644493,4,triangle,90,45,nan,0,0,0,90,45,45,triangle,90,45,nan,0,45,90,45,45,0,triangle,90,45,nan,0,45,45,90,45,0,triangle,90,45,nan,0,0,45,45,90,0
191,192,190,190,150,0.27700831,2.006271658,4,triangle,100,50,nan,0,0,0,100,50,50,triangle,100,50,nan,0,50,100,50,50,0,triangle,100,50,nan,0,50,50,100,50,0,triangle,100,50,nan,0,0,50,50,100,0
192,193,190,190,150,0.335180055,2.206898824,4,triangle,110,55,nan,0,0,0,110,55,55,triangle,110,55,nan,0,55,110,55,55,0,triangle,110,55,nan,0,55,55,110,55,0,triangle,110,55,nan,0,0,55,55,110,0
193,194,190,190,150,0.398891967,2.40752599,4,triangle,120,60,nan,0,0,0,120,60,60,triangle,120,60,nan,0,60,120,60,60,0,triangle,120,60,nan,0,60,60,120,60,0,triangle,120,60,nan,0,0,60,60,120,0
194,195,190,190,150,0.468144044,2.608153156,4,triangle,130,65,nan,0,0,0,130,65,65,triangle,130,65,nan,0,65,130,65,65,0,triangle,130,65,nan,0,65,65,130,65,0,triangle,130,65,nan,0,0,65,65,130,0
195,196,190,190,150,0.542936288,2.808780322,4,triangle,140,70,nan,0,0,0,140,70,70,triangle,140,70,nan,0,70,140,70,70,0,triangle,140,70,nan,0,70,70,140,70,0,triangle,140,70,nan,0,0,70,70,140,0
196,197,190,190,190,0.002770083,0.254127743,4,triangle,10,5,nan,0,0,0,10,5,5,triangle,10,5,nan,0,5,10,5,5,0,triangle,10,5,nan,0,5,5,10,5,0,triangle,10,5,nan,0,0,5,5,10,0
197,198,190,190,190,0.011080332,0.508255487,4,triangle,20,10,nan,0,0,0,20,10,10,triangle,20,10,nan,0,10,20,10,10,0,triangle,20,10,nan,0,10,10,20,10,0,triangle,20,10,nan,0,0,10,10,20,0
198,199,190,190,190,0.024930748,0.76238323,4,triangle,30,15,nan,0,0,0,30,15,15,triangle,30,15,nan,0,15,30,15,15,0,triangle,30,15,nan,0,15,15,30,15,0,triangle,30,15,nan,0,0,15,15,30,0
199,200,190,190,190,0.04432133,1.016510974,4,triangle,40,20,nan,0,0,0,40,20,20,triangle,40,20,nan,0,20,40,20,20,0,triangle,40,20,nan,0,20,20,40,20,0,triangle,40,20,nan,0,0,20,20,40,0
200,201,190,190,190,0.069252078,1.270638717,4,triangle,50,25,nan,0,0,0,50,25,25,triangle,50,25,nan,0,25,50,25,25,0,triangle,50,25,nan,0,25,25,50,25,0,triangle,50,25,nan,0,0,25,25,50,0
201,202,190,190,190,0.099722992,1.52476646,4,triangle,60,30,nan,0,0,0,60,30,30,triangle,60,30,nan,0,30,60,30,30,0,triangle,60,30,nan,0,30,30,60,30,0,triangle,60,30,nan,0,0,30,30,60,0
202,203,190,190,190,0.135734072,1.778894204,4,triangle,70,35,nan,0,0,0,70,35,35,triangle,70,35,nan,0,35,70,35,35,0,triangle,70,35,nan,0,35,35,70,35,0,triangle,70,35,nan,0,0,35,35,70,0
203,204,190,190,190,0.177285319,2.033021947,4,triangle,80,40,nan,0,0,0,80,40,40,triangle,80,40,nan,0,40,80,40,40,0,triangle,80,40,nan,0,40,40,80,40,0,triangle,80,40,nan,0,0,40,40,80,0
204,205,190,190,190,0.224376731,2.287149691,4,triangle,90,45,nan,0,0,0,90,45,45,triangle,90,45,nan,0,45,90,45,45,0,triangle,90,45,nan,0,45,45,90,45,0,triangle,90,45,nan,0,0,45,45,90,0
205,206,190,190,190,0.27700831,2.541277434,4,triangle,100,50,nan,0,0,0,100,50,50,triangle,100,50,nan,0,50,100,50,50,0,triangle,100,50,nan,0,50,50,100,50,0,triangle,100,50,nan,0,0,50,50,100,0
206,207,190,190,190,0.335180055,2.795405177,4,triangle,110,55,nan,0,0,0,110,55,55,triangle,110,55,nan,0,55,110,55,55,0,triangle,110,55,nan,0,55,55,110,55,0,triangle,110,55,nan,0,0,55,55,110,0
207,208,190,190,190,0.398891967,3.049532921,4,triangle,120,60,nan,0,0,0,120,60,60,triangle,120,60,nan,0,60,120,60,60,0,triangle,120,60,nan,0,60,60,120,60,0,triangle,120,60,nan,0,0,60,60,120,0
208,209,190,190,190,0.468144044,3.303660664,4,triangle,130,65,nan,0,0,0,130,65,65,triangle,130,65,nan,0,65,130,65,65,0,triangle,130,65,nan,0,65,65,130,65,0,triangle,130,65,nan,0,0,65,65,130,0
209,210,190,190,190,0.542936288,3.557788408,4,triangle,140,70,nan,0,0,0,140,70,70,triangle,140,70,nan,0,70,140,70,70,0,triangle,140,70,nan,0,70,70,140,70,0,triangle,140,70,nan,0,0,70,70,140,0
